Daily Calorie Target,Protein,Calories,Fat,Breakfast Suggestion,Lunch Suggestion,Dinner Suggestion,Snack Suggestion,Disease,Price_RM,Breakfast_Price_RM,Lunch_Price_RM,Dinner_Price_RM,Snack_Price_RM
1884,92,2438,94,Oatmeal with berries,Avocado and chickpea salad,Vegetable curry,Protein bar,Weight Gain,10.69,2.6725,2.6725,2.6725,2.6725
2219,100,2283,87,Smoothie with protein powder,Lentil soup with bread,Vegetable curry,Trail mix,Weight Gain,8.74,2.185,2.185,2.185,2.185
1874,99,2087,67,Oatmeal with berries,Turkey sandwich,Beef and broccoli stir-fry,Hummus and veggies,Weight Gain,14.44,3.61,3.61,3.61,3.61
2974,143,2375,55,Oatmeal with berries,Grilled chicken salad,Pasta with marinara sauce,Greek yogurt with nuts,Weight Gain,6,1.5,1.5,1.5,1.5
2633,129,2695,71,3 pancakes with syrup,Veggie stir-fry,Pasta with marinara sauce,Greek yogurt with nuts,Weight Gain,5.03,1.2575,1.2575,1.2575,1.2575
2781,160,2083,67,Fruit and yogurt parfait,Grilled chicken salad,Pasta with marinara sauce,Hummus and veggies,Weight Gain,3.95,0.9875,0.9875,0.9875,0.9875
1658,172,2984,80,Fruit and yogurt parfait,Turkey sandwich,Baked salmon with veggies,Protein bar,Weight Gain,8.15,2.0375,2.0375,2.0375,2.0375
2132,146,2276,92,Smoothie with protein powder,Grilled chicken salad,Baked salmon with veggies,Protein bar,Weight Gain,11.71,2.9275,2.9275,2.9275,2.9275
2381,119,1784,48,Fruit and yogurt parfait,Lentil soup with bread,Pasta with marinara sauce,Trail mix,"Weight Gain, Hypertension, Heart Disease",10.64,2.66,2.66,2.66,2.66
1901,132,2712,80,Oatmeal with berries,Turkey sandwich,Tofu and quinoa bowl,Apple with almond butter,Weight Gain,11.63,2.9075,2.9075,2.9075,2.9075
1697,142,2056,44,3 pancakes with syrup,Grilled chicken salad,Vegetable curry,Trail mix,"Weight Gain, Hypertension, Heart Disease",8.09,2.0225,2.0225,2.0225,2.0225
2822,92,1730,58,Egg and spinach wrap,Grilled chicken salad,Tofu and quinoa bowl,Apple with almond butter,Weight Gain,5.79,1.4475,1.4475,1.4475,1.4475
2771,115,1983,55,Fruit and yogurt parfait,Lentil soup with bread,Baked salmon with veggies,Protein bar,Weight Gain,10.24,2.56,2.56,2.56,2.56
2607,107,2063,43,Egg and spinach wrap,Veggie stir-fry,Pasta with marinara sauce,Apple with almond butter,"Weight Gain, Hypertension, Heart Disease",10.21,2.5525,2.5525,2.5525,2.5525
2081,153,2220,64,Egg and spinach wrap,Veggie stir-fry,Tofu and quinoa bowl,Trail mix,Weight Gain,3.91,0.9775,0.9775,0.9775,0.9775
1690,58,2324,92,Oatmeal with berries,Avocado and chickpea salad,Baked salmon with veggies,Trail mix,"Weight Gain, Kidney Disease",6.21,1.5525,1.5525,1.5525,1.5525
2160,105,2116,44,Fruit and yogurt parfait,Avocado and chickpea salad,Baked salmon with veggies,Hummus and veggies,"Weight Gain, Hypertension, Heart Disease",7.65,1.9125,1.9125,1.9125,1.9125
1969,53,1906,78,Oatmeal with berries,Grilled chicken salad,Beef and broccoli stir-fry,Protein bar,"Weight Gain, Kidney Disease",3.8,0.95,0.95,0.95,0.95
1505,160,2216,36,Egg and spinach wrap,Veggie stir-fry,Baked salmon with veggies,Trail mix,"Weight Gain, Hypertension, Heart Disease",9.82,2.455,2.455,2.455,2.455
2611,58,2631,95,Egg and spinach wrap,Lentil soup with bread,Vegetable curry,Apple with almond butter,"Weight Gain, Kidney Disease",12.83,3.2075,3.2075,3.2075,3.2075
2573,141,1905,49,Fruit and yogurt parfait,Grilled chicken salad,Pasta with marinara sauce,Apple with almond butter,"Weight Gain, Hypertension, Heart Disease",8.24,2.06,2.06,2.06,2.06
1641,128,1654,30,Smoothie with protein powder,Turkey sandwich,Pasta with marinara sauce,Hummus and veggies,"Hypertension, Heart Disease",14.25,3.5625,3.5625,3.5625,3.5625
2411,112,2343,99,3 pancakes with syrup,Veggie stir-fry,Tofu and quinoa bowl,Apple with almond butter,Weight Gain,4.48,1.12,1.12,1.12,1.12
1975,134,2022,54,3 pancakes with syrup,Turkey sandwich,Vegetable curry,Protein bar,Weight Gain,6.18,1.545,1.545,1.545,1.545
1548,175,1795,55,Egg and spinach wrap,Turkey sandwich,Pasta with marinara sauce,Hummus and veggies,Weight Gain,4.7,1.175,1.175,1.175,1.175
1539,87,2189,81,Fruit and yogurt parfait,Veggie stir-fry,Vegetable curry,Apple with almond butter,Weight Gain,4.97,1.2425,1.2425,1.2425,1.2425
2775,70,2335,79,3 pancakes with syrup,Grilled chicken salad,Pasta with marinara sauce,Trail mix,"Weight Gain, Kidney Disease",4.58,1.145,1.145,1.145,1.145
1982,127,1833,73,3 pancakes with syrup,Avocado and chickpea salad,Vegetable curry,Hummus and veggies,Weight Gain,8.53,2.1325,2.1325,2.1325,2.1325
2478,170,2059,35,Oatmeal with berries,Lentil soup with bread,Tofu and quinoa bowl,Hummus and veggies,"Weight Gain, Hypertension, Heart Disease",9.99,2.4975,2.4975,2.4975,2.4975
2921,150,2358,94,Fruit and yogurt parfait,Turkey sandwich,Baked salmon with veggies,Greek yogurt with nuts,Weight Gain,13.14,3.285,3.285,3.285,3.285
1622,110,2800,88,Oatmeal with berries,Veggie stir-fry,Baked salmon with veggies,Protein bar,Weight Gain,12.74,3.185,3.185,3.185,3.185
2556,97,2376,60,Egg and spinach wrap,Veggie stir-fry,Baked salmon with veggies,Trail mix,Weight Gain,8.63,2.1575,2.1575,2.1575,2.1575
2535,150,2441,49,Oatmeal with berries,Turkey sandwich,Beef and broccoli stir-fry,Trail mix,"Weight Gain, Hypertension, Heart Disease",11.82,2.955,2.955,2.955,2.955
1590,93,2052,60,Fruit and yogurt parfait,Grilled chicken salad,Vegetable curry,Trail mix,Weight Gain,13.04,3.26,3.26,3.26,3.26
2885,98,2149,45,Oatmeal with berries,Avocado and chickpea salad,Beef and broccoli stir-fry,Hummus and veggies,"Weight Gain, Hypertension, Heart Disease",4.96,1.24,1.24,1.24,1.24
2321,170,2020,60,Fruit and yogurt parfait,Turkey sandwich,Tofu and quinoa bowl,Apple with almond butter,Weight Gain,14.15,3.5375,3.5375,3.5375,3.5375
2306,99,2569,97,Egg and spinach wrap,Avocado and chickpea salad,Pasta with marinara sauce,Hummus and veggies,Weight Gain,9.42,2.355,2.355,2.355,2.355
1582,136,2501,45,Egg and spinach wrap,Grilled chicken salad,Baked salmon with veggies,Protein bar,"Weight Gain, Hypertension, Heart Disease",12.43,3.1075,3.1075,3.1075,3.1075
1869,155,1911,35,Oatmeal with berries,Grilled chicken salad,Tofu and quinoa bowl,Apple with almond butter,"Weight Gain, Hypertension, Heart Disease",14.64,3.66,3.66,3.66,3.66
2511,73,2567,79,Fruit and yogurt parfait,Avocado and chickpea salad,Beef and broccoli stir-fry,Apple with almond butter,"Weight Gain, Kidney Disease",7.38,1.845,1.845,1.845,1.845
2455,174,2667,83,Fruit and yogurt parfait,Avocado and chickpea salad,Beef and broccoli stir-fry,Greek yogurt with nuts,Weight Gain,4.21,1.0525,1.0525,1.0525,1.0525
2587,105,1742,46,Fruit and yogurt parfait,Grilled chicken salad,Baked salmon with veggies,Hummus and veggies,"Weight Gain, Hypertension, Heart Disease",10,2.5,2.5,2.5,2.5
1748,103,2212,88,Egg and spinach wrap,Grilled chicken salad,Baked salmon with veggies,Trail mix,Weight Gain,12.75,3.1875,3.1875,3.1875,3.1875
2933,117,2628,96,Fruit and yogurt parfait,Grilled chicken salad,Tofu and quinoa bowl,Hummus and veggies,Weight Gain,10.07,2.5175,2.5175,2.5175,2.5175
2077,179,2100,76,Smoothie with protein powder,Grilled chicken salad,Pasta with marinara sauce,Protein bar,Weight Gain,10.86,2.715,2.715,2.715,2.715
2882,115,1832,36,Egg and spinach wrap,Avocado and chickpea salad,Beef and broccoli stir-fry,Protein bar,"Weight Gain, Hypertension, Heart Disease",5.44,1.36,1.36,1.36,1.36
1590,100,1904,36,3 pancakes with syrup,Turkey sandwich,Vegetable curry,Greek yogurt with nuts,"Weight Gain, Hypertension, Heart Disease",12.34,3.085,3.085,3.085,3.085
1741,94,1716,44,Egg and spinach wrap,Veggie stir-fry,Vegetable curry,Trail mix,"Weight Gain, Hypertension, Heart Disease",3.91,0.9775,0.9775,0.9775,0.9775
2831,131,2336,36,Oatmeal with berries,Lentil soup with bread,Beef and broccoli stir-fry,Greek yogurt with nuts,"Weight Gain, Hypertension, Heart Disease",9.26,2.315,2.315,2.315,2.315
2315,137,2273,81,Fruit and yogurt parfait,Avocado and chickpea salad,Baked salmon with veggies,Hummus and veggies,Weight Gain,9.28,2.32,2.32,2.32,2.32
2625,116,2778,94,Fruit and yogurt parfait,Avocado and chickpea salad,Beef and broccoli stir-fry,Trail mix,Weight Gain,12.54,3.135,3.135,3.135,3.135
2255,73,2342,94,Egg and spinach wrap,Lentil soup with bread,Pasta with marinara sauce,Trail mix,"Weight Gain, Kidney Disease",4.23,1.0575,1.0575,1.0575,1.0575
2759,176,2686,70,Fruit and yogurt parfait,Grilled chicken salad,Beef and broccoli stir-fry,Greek yogurt with nuts,Weight Gain,4.74,1.185,1.185,1.185,1.185
2843,106,1768,36,Fruit and yogurt parfait,Grilled chicken salad,Tofu and quinoa bowl,Apple with almond butter,"Weight Gain, Hypertension, Heart Disease",5.02,1.255,1.255,1.255,1.255
2901,163,2498,42,Oatmeal with berries,Avocado and chickpea salad,Beef and broccoli stir-fry,Trail mix,"Weight Gain, Hypertension, Heart Disease",7.9,1.975,1.975,1.975,1.975
2006,147,2218,86,Egg and spinach wrap,Avocado and chickpea salad,Beef and broccoli stir-fry,Protein bar,Weight Gain,7.7,1.925,1.925,1.925,1.925
2538,94,2340,96,Fruit and yogurt parfait,Lentil soup with bread,Tofu and quinoa bowl,Trail mix,Weight Gain,5.06,1.265,1.265,1.265,1.265
2720,162,2342,38,Egg and spinach wrap,Turkey sandwich,Baked salmon with veggies,Hummus and veggies,"Weight Gain, Hypertension, Heart Disease",8.33,2.0825,2.0825,2.0825,2.0825
2227,138,2011,91,Egg and spinach wrap,Grilled chicken salad,Vegetable curry,Apple with almond butter,Weight Gain,8.26,2.065,2.065,2.065,2.065
2747,161,2511,47,Fruit and yogurt parfait,Veggie stir-fry,Pasta with marinara sauce,Protein bar,"Weight Gain, Hypertension, Heart Disease",5.2,1.3,1.3,1.3,1.3
1739,83,2065,37,Fruit and yogurt parfait,Grilled chicken salad,Beef and broccoli stir-fry,Apple with almond butter,"Weight Gain, Hypertension, Heart Disease",6.48,1.62,1.62,1.62,1.62
1605,74,2418,62,3 pancakes with syrup,Lentil soup with bread,Tofu and quinoa bowl,Hummus and veggies,"Weight Gain, Kidney Disease",11.68,2.92,2.92,2.92,2.92
1953,124,1956,40,Egg and spinach wrap,Avocado and chickpea salad,Beef and broccoli stir-fry,Apple with almond butter,"Weight Gain, Hypertension, Heart Disease",14.42,3.605,3.605,3.605,3.605
2534,152,2393,49,3 pancakes with syrup,Grilled chicken salad,Beef and broccoli stir-fry,Trail mix,"Weight Gain, Hypertension, Heart Disease",3.84,0.96,0.96,0.96,0.96
2432,105,2551,99,3 pancakes with syrup,Avocado and chickpea salad,Baked salmon with veggies,Apple with almond butter,Weight Gain,9.8,2.45,2.45,2.45,2.45
2816,156,2146,34,Smoothie with protein powder,Veggie stir-fry,Beef and broccoli stir-fry,Hummus and veggies,"Weight Gain, Hypertension, Heart Disease",10.34,2.585,2.585,2.585,2.585
1854,54,1379,39,Egg and spinach wrap,Lentil soup with bread,Vegetable curry,Greek yogurt with nuts,"Weight Gain, Hypertension, Heart Disease, Kidney Disease",5.2,1.3,1.3,1.3,1.3
1814,123,2503,51,Smoothie with protein powder,Avocado and chickpea salad,Vegetable curry,Apple with almond butter,Weight Gain,8.9,2.225,2.225,2.225,2.225
2842,71,1750,74,Fruit and yogurt parfait,Lentil soup with bread,Vegetable curry,Greek yogurt with nuts,"Weight Gain, Kidney Disease",11.98,2.995,2.995,2.995,2.995
2446,130,2754,94,Egg and spinach wrap,Grilled chicken salad,Tofu and quinoa bowl,Hummus and veggies,Weight Gain,11.26,2.815,2.815,2.815,2.815
2449,104,2401,53,3 pancakes with syrup,Turkey sandwich,Baked salmon with veggies,Apple with almond butter,Weight Gain,13.56,3.39,3.39,3.39,3.39
2467,97,2573,89,Fruit and yogurt parfait,Lentil soup with bread,Beef and broccoli stir-fry,Trail mix,Weight Gain,11.32,2.83,2.83,2.83,2.83
1792,149,2261,65,3 pancakes with syrup,Avocado and chickpea salad,Baked salmon with veggies,Protein bar,Weight Gain,8.73,2.1825,2.1825,2.1825,2.1825
2295,109,2270,78,3 pancakes with syrup,Grilled chicken salad,Beef and broccoli stir-fry,Apple with almond butter,Weight Gain,9.59,2.3975,2.3975,2.3975,2.3975
2100,138,1944,64,Smoothie with protein powder,Turkey sandwich,Pasta with marinara sauce,Greek yogurt with nuts,Weight Gain,9.16,2.29,2.29,2.29,2.29
2814,167,2640,88,Smoothie with protein powder,Avocado and chickpea salad,Vegetable curry,Protein bar,Weight Gain,4.19,1.0475,1.0475,1.0475,1.0475
2099,140,1878,58,Egg and spinach wrap,Turkey sandwich,Baked salmon with veggies,Apple with almond butter,Weight Gain,14.37,3.5925,3.5925,3.5925,3.5925
2042,132,2539,83,Fruit and yogurt parfait,Turkey sandwich,Beef and broccoli stir-fry,Greek yogurt with nuts,Weight Gain,3.13,0.7825,0.7825,0.7825,0.7825
1630,100,1671,71,3 pancakes with syrup,Avocado and chickpea salad,Beef and broccoli stir-fry,Protein bar,Weight Gain,9.71,2.4275,2.4275,2.4275,2.4275
2605,90,1594,38,Oatmeal with berries,Turkey sandwich,Tofu and quinoa bowl,Hummus and veggies,"Weight Gain, Hypertension, Heart Disease",12.66,3.165,3.165,3.165,3.165
2418,71,1663,39,Smoothie with protein powder,Avocado and chickpea salad,Pasta with marinara sauce,Hummus and veggies,"Weight Gain, Hypertension, Heart Disease, Kidney Disease",3.61,0.9025,0.9025,0.9025,0.9025
1531,114,1486,30,Oatmeal with berries,Lentil soup with bread,Tofu and quinoa bowl,Protein bar,"Hypertension, Heart Disease",7.65,1.9125,1.9125,1.9125,1.9125
1619,118,2955,99,Fruit and yogurt parfait,Lentil soup with bread,Beef and broccoli stir-fry,Apple with almond butter,Weight Gain,4.94,1.235,1.235,1.235,1.235
2289,155,1852,56,Fruit and yogurt parfait,Veggie stir-fry,Tofu and quinoa bowl,Protein bar,Weight Gain,8.61,2.1525,2.1525,2.1525,2.1525
2625,55,2131,55,Egg and spinach wrap,Lentil soup with bread,Vegetable curry,Trail mix,"Weight Gain, Kidney Disease",10.72,2.68,2.68,2.68,2.68
2498,142,1986,50,3 pancakes with syrup,Turkey sandwich,Baked salmon with veggies,Greek yogurt with nuts,Weight Gain,10.09,2.5225,2.5225,2.5225,2.5225
2979,50,1828,32,Egg and spinach wrap,Turkey sandwich,Pasta with marinara sauce,Greek yogurt with nuts,"Hypertension, Kidney Disease",7.35,1.8375,1.8375,1.8375,1.8375
2527,123,1921,73,Fruit and yogurt parfait,Avocado and chickpea salad,Tofu and quinoa bowl,Hummus and veggies,Weight Gain,3.84,0.96,0.96,0.96,0.96
2913,128,2506,82,Oatmeal with berries,Veggie stir-fry,Tofu and quinoa bowl,Apple with almond butter,Weight Gain,13.84,3.46,3.46,3.46,3.46
2139,154,2423,31,Smoothie with protein powder,Veggie stir-fry,Vegetable curry,Apple with almond butter,"Weight Gain, Hypertension, Heart Disease",8.24,2.06,2.06,2.06,2.06
2690,123,2125,97,Egg and spinach wrap,Turkey sandwich,Vegetable curry,Trail mix,Weight Gain,13.7,3.425,3.425,3.425,3.425
1746,87,1557,41,Fruit and yogurt parfait,Turkey sandwich,Beef and broccoli stir-fry,Hummus and veggies,"Weight Gain, Hypertension, Heart Disease",10.92,2.73,2.73,2.73,2.73
2982,113,2068,60,Egg and spinach wrap,Avocado and chickpea salad,Baked salmon with veggies,Greek yogurt with nuts,Weight Gain,6.05,1.5125,1.5125,1.5125,1.5125
2240,175,2197,57,Egg and spinach wrap,Avocado and chickpea salad,Baked salmon with veggies,Apple with almond butter,Weight Gain,11.85,2.9625,2.9625,2.9625,2.9625
1705,176,2425,61,3 pancakes with syrup,Avocado and chickpea salad,Baked salmon with veggies,Trail mix,Weight Gain,9.41,2.3525,2.3525,2.3525,2.3525
2437,71,2065,57,Oatmeal with berries,Lentil soup with bread,Tofu and quinoa bowl,Protein bar,"Weight Gain, Kidney Disease",8.33,2.0825,2.0825,2.0825,2.0825
2188,173,2648,96,Fruit and yogurt parfait,Turkey sandwich,Vegetable curry,Protein bar,Weight Gain,5.67,1.4175,1.4175,1.4175,1.4175
2902,84,1804,96,Smoothie with protein powder,Grilled chicken salad,Vegetable curry,Apple with almond butter,Weight Gain,13.08,3.27,3.27,3.27,3.27
2147,61,2325,61,Smoothie with protein powder,Veggie stir-fry,Pasta with marinara sauce,Apple with almond butter,"Weight Gain, Kidney Disease",5.74,1.435,1.435,1.435,1.435
1523,133,2308,56,Oatmeal with berries,Turkey sandwich,Beef and broccoli stir-fry,Apple with almond butter,Weight Gain,9.83,2.4575,2.4575,2.4575,2.4575
1949,76,1468,40,Smoothie with protein powder,Turkey sandwich,Baked salmon with veggies,Apple with almond butter,"Weight Gain, Hypertension, Heart Disease, Kidney Disease",3.24,0.81,0.81,0.81,0.81
2282,71,2092,64,Egg and spinach wrap,Veggie stir-fry,Tofu and quinoa bowl,Protein bar,"Weight Gain, Kidney Disease",9.07,2.2675,2.2675,2.2675,2.2675
2841,145,2067,59,Fruit and yogurt parfait,Veggie stir-fry,Baked salmon with veggies,Protein bar,Weight Gain,12.72,3.18,3.18,3.18,3.18
1872,172,2798,58,Oatmeal with berries,Lentil soup with bread,Beef and broccoli stir-fry,Apple with almond butter,Weight Gain,6.45,1.6125,1.6125,1.6125,1.6125
1637,93,1915,83,3 pancakes with syrup,Grilled chicken salad,Tofu and quinoa bowl,Apple with almond butter,Weight Gain,11.07,2.7675,2.7675,2.7675,2.7675
2738,101,1337,33,Egg and spinach wrap,Avocado and chickpea salad,Tofu and quinoa bowl,Protein bar,"Weight Gain, Hypertension, Heart Disease",7.81,1.9525,1.9525,1.9525,1.9525
2885,69,1307,47,Egg and spinach wrap,Avocado and chickpea salad,Tofu and quinoa bowl,Apple with almond butter,"Weight Gain, Hypertension, Heart Disease, Kidney Disease",3.16,0.79,0.79,0.79,0.79
2813,136,1507,31,Smoothie with protein powder,Grilled chicken salad,Pasta with marinara sauce,Hummus and veggies,"Weight Gain, Hypertension, Heart Disease",4.22,1.055,1.055,1.055,1.055
2880,179,2260,96,Oatmeal with berries,Avocado and chickpea salad,Pasta with marinara sauce,Protein bar,Weight Gain,7.09,1.7725,1.7725,1.7725,1.7725
2905,107,2163,59,Egg and spinach wrap,Lentil soup with bread,Vegetable curry,Hummus and veggies,Weight Gain,14.5,3.625,3.625,3.625,3.625
2117,153,2822,78,3 pancakes with syrup,Lentil soup with bread,Vegetable curry,Trail mix,Weight Gain,8.96,2.24,2.24,2.24,2.24
1943,99,1889,81,Egg and spinach wrap,Avocado and chickpea salad,Beef and broccoli stir-fry,Protein bar,Weight Gain,13.5,3.375,3.375,3.375,3.375
1539,132,1708,60,3 pancakes with syrup,Avocado and chickpea salad,Pasta with marinara sauce,Greek yogurt with nuts,Weight Gain,13.59,3.3975,3.3975,3.3975,3.3975
1736,174,2187,59,3 pancakes with syrup,Veggie stir-fry,Baked salmon with veggies,Hummus and veggies,Weight Gain,12.51,3.1275,3.1275,3.1275,3.1275
2760,98,2241,65,Egg and spinach wrap,Lentil soup with bread,Pasta with marinara sauce,Hummus and veggies,Weight Gain,5.45,1.3625,1.3625,1.3625,1.3625
2776,148,2495,55,Smoothie with protein powder,Veggie stir-fry,Baked salmon with veggies,Apple with almond butter,Weight Gain,6.36,1.59,1.59,1.59,1.59
1703,109,2328,76,3 pancakes with syrup,Veggie stir-fry,Baked salmon with veggies,Apple with almond butter,Weight Gain,3.88,0.97,0.97,0.97,0.97
2721,89,2156,40,3 pancakes with syrup,Lentil soup with bread,Vegetable curry,Apple with almond butter,"Weight Gain, Hypertension, Heart Disease",7.1,1.775,1.775,1.775,1.775
2455,147,1554,30,Oatmeal with berries,Avocado and chickpea salad,Vegetable curry,Protein bar,"Hypertension, Heart Disease",6.09,1.5225,1.5225,1.5225,1.5225
2428,119,1894,62,Smoothie with protein powder,Grilled chicken salad,Baked salmon with veggies,Greek yogurt with nuts,Weight Gain,11.54,2.885,2.885,2.885,2.885
1856,126,1849,33,Smoothie with protein powder,Avocado and chickpea salad,Vegetable curry,Trail mix,"Weight Gain, Hypertension, Heart Disease",10.32,2.58,2.58,2.58,2.58
2107,170,3113,97,Egg and spinach wrap,Avocado and chickpea salad,Vegetable curry,Hummus and veggies,Weight Gain,7.85,1.9625,1.9625,1.9625,1.9625
2240,168,2234,74,Oatmeal with berries and nuts,Grilled chicken salad with mixed greens,Salmon with roasted vegetables,Banana with peanut butter,Weight Gain,3.11,0.7775,0.7775,0.7775,0.7775
2502,187,2495,83,Tofu scramble with veggies,Chicken and vegetable stir-fry,Pasta with marinara sauce and veggies,Apple with almond butter,Weight Gain,6.59,1.6475,1.6475,1.6475,1.6475
1540,115,1535,51,Greek yogurt with granola and fruit,Quinoa salad with chickpeas and vegetables,Lentil and vegetable curry,Fruit and nut mix,Weight Gain,3.42,0.855,0.855,0.855,0.855
3525,264,3517,117,Greek yogurt with granola and fruit,Black bean burger on a whole wheat bun,Lentil and vegetable curry,Fruit and nut mix,Weight Gain,10.03,2.5075,2.5075,2.5075,2.5075
1245,93,1237,41,Tofu scramble with veggies,Lentil soup with whole wheat bread,Turkey chili with brown rice,Trail mix,"Diabetes, Acne, Weight Gain, Hypertension, Heart Disease",10.12,2.53,2.53,2.53,2.53
2236,167,2226,74,Tofu scramble with veggies,Grilled chicken salad with mixed greens,Lentil and vegetable curry,Fruit and nut mix,Weight Gain,4.75,1.1875,1.1875,1.1875,1.1875
2015,151,2011,67,Scrambled eggs with whole wheat toast,Chicken and vegetable stir-fry,Lentil and vegetable curry,Apple with almond butter,Weight Gain,6.61,1.6525,1.6525,1.6525,1.6525
3046,228,3037,101,Smoothie with protein powder,Black bean burger on a whole wheat bun,Pasta with marinara sauce and veggies,Greek yogurt with fruit,Weight Gain,9.78,2.445,2.445,2.445,2.445
2220,166,2218,74,Greek yogurt with granola and fruit,Chicken and vegetable stir-fry,Lentil and vegetable curry,Banana with peanut butter,Weight Gain,9.18,2.295,2.295,2.295,2.295
3164,237,3157,105,Tofu scramble with veggies,Chicken and vegetable stir-fry,Turkey chili with brown rice,Apple with almond butter,Weight Gain,12.66,3.165,3.165,3.165,3.165
1999,149,1986,66,Scrambled eggs with whole wheat toast,Chicken and vegetable stir-fry,Turkey chili with brown rice,Trail mix,Weight Gain,7.58,1.895,1.895,1.895,1.895
2217,166,2205,73,Tofu scramble with veggies,Lentil soup with whole wheat bread,Pasta with marinara sauce and veggies,Banana with peanut butter,Weight Gain,9.03,2.2575,2.2575,2.2575,2.2575
1828,137,1816,60,Smoothie with protein powder,Black bean burger on a whole wheat bun,Turkey chili with brown rice,Trail mix,Weight Gain,6.18,1.545,1.545,1.545,1.545
2021,151,2015,67,Greek yogurt with granola and fruit,Lentil soup with whole wheat bread,Pasta with marinara sauce and veggies,Banana with peanut butter,Weight Gain,11.69,2.9225,2.9225,2.9225,2.9225
2247,168,2234,74,Greek yogurt with granola and fruit,Quinoa salad with chickpeas and vegetables,Salmon with roasted vegetables,Fruit and nut mix,Weight Gain,12.58,3.145,3.145,3.145,3.145
2395,179,2383,79,Smoothie with protein powder,Lentil soup with whole wheat bread,Vegetable stir-fry with brown rice,Apple with almond butter,Weight Gain,6.84,1.71,1.71,1.71,1.71
3654,274,3645,121,Oatmeal with berries and nuts,Grilled chicken salad with mixed greens,Pasta with marinara sauce and veggies,Trail mix,Weight Gain,5.59,1.3975,1.3975,1.3975,1.3975
3043,228,3037,101,Oatmeal with berries and nuts,Black bean burger on a whole wheat bun,Vegetable stir-fry with brown rice,Greek yogurt with fruit,Weight Gain,3.73,0.9325,0.9325,0.9325,0.9325
1344,100,1332,44,Smoothie with protein powder,Lentil soup with whole wheat bread,Salmon with roasted vegetables,Trail mix,"Diabetes, Acne, Weight Gain, Hypertension, Heart Disease",10.47,2.6175,2.6175,2.6175,2.6175
3133,234,3124,104,Scrambled eggs with whole wheat toast,Grilled chicken salad with mixed greens,Turkey chili with brown rice,Greek yogurt with fruit,Weight Gain,10.62,2.655,2.655,2.655,2.655
2357,176,2346,78,Tofu scramble with veggies,Lentil soup with whole wheat bread,Vegetable stir-fry with brown rice,Trail mix,Weight Gain,8.15,2.0375,2.0375,2.0375,2.0375
2741,205,2735,91,Greek yogurt with granola and fruit,Chicken and vegetable stir-fry,Turkey chili with brown rice,Apple with almond butter,Weight Gain,11.51,2.8775,2.8775,2.8775,2.8775
2110,158,2106,70,Scrambled eggs with whole wheat toast,Grilled chicken salad with mixed greens,Lentil and vegetable curry,Apple with almond butter,Weight Gain,11.01,2.7525,2.7525,2.7525,2.7525
2646,198,2640,88,Tofu scramble with veggies,Grilled chicken salad with mixed greens,Vegetable stir-fry with brown rice,Apple with almond butter,Weight Gain,4.26,1.065,1.065,1.065,1.065
1246,93,1237,41,Scrambled eggs with whole wheat toast,Quinoa salad with chickpeas and vegetables,Turkey chili with brown rice,Apple with almond butter,"Diabetes, Acne, Weight Gain, Hypertension, Heart Disease",3.59,0.8975,0.8975,0.8975,0.8975
3159,236,3149,105,Scrambled eggs with whole wheat toast,Black bean burger on a whole wheat bun,Turkey chili with brown rice,Greek yogurt with fruit,Weight Gain,10.43,2.6075,2.6075,2.6075,2.6075
1658,124,1651,55,Greek yogurt with granola and fruit,Chicken and vegetable stir-fry,Pasta with marinara sauce and veggies,Apple with almond butter,Weight Gain,11.29,2.8225,2.8225,2.8225,2.8225
1408,105,1394,46,Scrambled eggs with whole wheat toast,Chicken and vegetable stir-fry,Lentil and vegetable curry,Trail mix,"Diabetes, Acne, Weight Gain, Hypertension, Heart Disease",8.79,2.1975,2.1975,2.1975,2.1975
2573,192,2561,85,Greek yogurt with granola and fruit,Lentil soup with whole wheat bread,Turkey chili with brown rice,Fruit and nut mix,Weight Gain,12.58,3.145,3.145,3.145,3.145
3605,270,3600,120,Scrambled eggs with whole wheat toast,Chicken and vegetable stir-fry,Vegetable stir-fry with brown rice,Apple with almond butter,Weight Gain,10.15,2.5375,2.5375,2.5375,2.5375
2456,184,2445,81,Scrambled eggs with whole wheat toast,Quinoa salad with chickpeas and vegetables,Salmon with roasted vegetables,Fruit and nut mix,Weight Gain,4.63,1.1575,1.1575,1.1575,1.1575
2086,156,2077,69,Tofu scramble with veggies,Lentil soup with whole wheat bread,Pasta with marinara sauce and veggies,Fruit and nut mix,Weight Gain,12.59,3.1475,3.1475,3.1475,3.1475
2766,207,2760,92,Greek yogurt with granola and fruit,Lentil soup with whole wheat bread,Lentil and vegetable curry,Trail mix,Weight Gain,8.91,2.2275,2.2275,2.2275,2.2275
1296,97,1291,43,Smoothie with protein powder,Grilled chicken salad with mixed greens,Turkey chili with brown rice,Greek yogurt with fruit,"Diabetes, Acne, Weight Gain, Hypertension, Heart Disease",12.56,3.14,3.14,3.14,3.14
2751,206,2743,91,Greek yogurt with granola and fruit,Black bean burger on a whole wheat bun,Pasta with marinara sauce and veggies,Banana with peanut butter,Weight Gain,9.86,2.465,2.465,2.465,2.465
2270,170,2263,75,Oatmeal with berries and nuts,Chicken and vegetable stir-fry,Pasta with marinara sauce and veggies,Trail mix,Weight Gain,11.65,2.9125,2.9125,2.9125,2.9125
